release_date,followers
1973-01-01,87293
2018-11-23,17217
2011-03-08,61694
2015-07-31,1090309
2013-01-01,1090309
2013-01-01,1090309
2016-06-01,325884
2021-04-23,325884
2006-01-01,740626
2016-06-01,325884
2011-03-08,61694
2022-10-11,163662
2022-10-11,163662
2022-10-12,102339
2013-01-01,1090309
2013-01-01,1090309
2022-10-11,163662
2013-01-01,1090309
2022-10-12,163662
2013-01-01,1090309
2017-03-10,48717
2022-10-11,102339
2022-10-11,163662
2022-10-11,68167
2005,3000661
2009-04-21,201854
2010-02-22,289958
2017-04-28,1090309
2019-04-19,325884
2014-03-25,889372
2022-08-26,467468
2021-01-15,19512
2017-02-24,467468
2009-07-23,3000661
2012-05-23,8604
2019-06-14,30648
2018-02-02,325884
2000-12-29,889372
2015-05-01,7787
2013-05-24,1090309
2009-05-26,467468
2016-12-16,124938
2010-03-15,889372
2021-04-23,325884
2009-12-20,325884
2000-12-29,889372
1998-06-30,740626
2010-03-15,889372
2016-09-22,17217
2003-01-01,740626
2021-04-23,325884
1998-06-30,740626
2021-04-23,325884
2016-06-01,325884
2011-12-11,56958
2016-09-22,17217
2016-06-01,325884
2011-03-01,69020
1999,889372
1998-06-30,740626
2022-10-11,163662
2022-10-12,163662
2016-06-01,325884
2010-10-10,31087
2016-08-24,137222
2006-09-25,889372
2022-10-11,163662
2021-04-23,325884
2022-10-11,163662
2013-01-01,1090309
2022-10-12,163662
2013-09-24,467468
2013-09-24,467468
2022-10-11,163662
2021-12-31,207045
1994-03-28,289958
2009-10-06,4026
2019-08-09,7716
2011-09-14,36233
2000-01-01,740626
2022-08-26,467468
2022-08-26,467468
1976-01-01,48768
2021-06-17,137222
2017-02-24,467468
2012-12-15,3135
2017-09-29,7490
2018-01-19,740626
2003-01-01,740626
2022-09-16,61694
2008-04-01,889372
2019-05-10,63422
2014-08-15,63422
2019-05-10,61694
2009-12-20,325884
2021-04-01,325884
1998,889372
1973-01-01,87293
2017-04-28,1090309
2022-08-26,467468
2006-09-05,467468
2000-12-29,889372
2011-01-01,16127
2021-04-23,325884
2021-04-23,325884
2000-12-29,889372
2017-12-01,467468
2009-12-20,325884
2009-12-20,325884
2007-07-07,223077
2009-12-20,325884
2021-04-23,325884
2018-11-23,17217
2015-10-02,87855
2011-12-11,56958
2009-12-20,325884
2021-04-23,325884
1999,889372
2017-03-10,48717
2000-01-01,740626
1998,467468
2015-07-31,1090309
2021-04-23,325884
1999,889372
2009-04-21,201854
2021-07-16,255761
2021-09-03,207045
2022-08-19,255761
1998-10-06,272440
2022-08-11,7352
2016-04-29,4115
2022-01-28,19512
2022-02-18,42441
2009-12-20,325884
2017-04-28,1090309
2022-02-25,8400
2020-04-17,4923
1998,889372
2020-03-16,889372
2017-12-03,14369
2017-09-29,7490
2022-02-25,42441
2013-05-09,10001
2016-07-01,7898
2017-04-28,1090309
2005-10-25,42899
2012-11-07,69020
2017-04-28,1090309
2017-04-28,1090309
2008,3693
2022-08-25,17217
2008-04-01,889372
2000-12-29,889372
2016-10-14,467468
2011-03-08,61694
2021-01-15,19512
2022-08-26,467468
2006-09-05,467468
2016-01-27,19424
1999,889372
2009-07-23,3000661
2017-02-24,467468
2019-05-10,63422
2014-10-21,223077
2021-04-23,325884
2021-04-23,325884
2021-04-23,325884
1998-06-30,740626
1998-06-30,740626
2021-04-23,325884
